Date,Open,High,Low,Close,Volume,Adj Close
2011-10-20 00:00:00,76.91,76.91,76.91,76.91,1000000,76.91
2011-10-21 00:00:00,76.1,76.1,76.1,76.1,1000000,76.1
2011-10-24 00:00:00,76.1,76.1,76.1,76.1,1000000,76.1
2011-10-25 00:00:00,75.88,75.88,75.88,75.88,1000000,75.88
2011-10-26 00:00:00,76.05,76.05,76.05,76.05,1000000,76.05
2011-10-27 00:00:00,75.8,75.8,75.8,75.8,1000000,75.8
2011-10-28 00:00:00,75.72,75.72,75.72,75.72,1000000,75.72
2011-10-31 00:00:00,77.97,77.97,77.97,77.97,1000000,77.97
2011-11-01 00:00:00,78.28,78.28,78.28,78.28,1000000,78.28
2011-11-02 00:00:00,78.04,78.04,78.04,78.04,1000000,78.04
2011-11-03 00:00:00,77.96,77.96,77.96,77.96,1000000,77.96
2011-11-04 00:00:00,78.17,78.17,78.17,78.17,1000000,78.17
2011-11-07 00:00:00,78.06,78.06,78.06,78.06,1000000,78.06
2011-11-08 00:00:00,77.79,77.79,77.79,77.79,1000000,77.79
2011-11-09 00:00:00,77.77,77.77,77.77,77.77,1000000,77.77
2011-11-10 00:00:00,77.58,77.58,77.58,77.58,1000000,77.58
2011-11-14 00:00:00,77.02,77.02,77.02,77.02,1000000,77.02
2011-11-15 00:00:00,76.99,76.99,76.99,76.99,1000000,76.99
2011-11-16 00:00:00,77.02,77.02,77.02,77.02,1000000,77.02
2011-11-17 00:00:00,76.98,76.98,76.98,76.98,1000000,76.98
2011-11-18 00:00:00,76.93,76.93,76.93,76.93,1000000,76.93
2011-11-21 00:00:00,76.97,76.97,76.97,76.97,1000000,76.97
2011-11-22 00:00:00,77.07,77.07,77.07,77.07,1000000,77.07
2011-11-23 00:00:00,77.41,77.41,77.41,77.41,1000000,77.41
2011-11-25 00:00:00,77.66,77.66,77.66,77.66,1000000,77.66
2011-11-28 00:00:00,78.05,78.05,78.05,78.05,1000000,78.05
2011-11-29 00:00:00,77.86,77.86,77.86,77.86,1000000,77.86
2011-11-30 00:00:00,77.58,77.58,77.58,77.58,1000000,77.58
2011-12-01 00:00:00,77.6,77.6,77.6,77.6,1000000,77.6
2011-12-02 00:00:00,77.88,77.88,77.88,77.88,1000000,77.88
2011-12-05 00:00:00,77.77,77.77,77.77,77.77,1000000,77.77
2011-12-06 00:00:00,77.73,77.73,77.73,77.73,1000000,77.73
2011-12-07 00:00:00,77.69,77.69,77.69,77.69,1000000,77.69
